Index,Username,Comment
48,@parvezwdadm,"সারজ ফারদি ভায়ের কোর্স থেকে আলহামদুলিল্লাহ অনেককিছু শিখতে পেরেছি আলহামদুলিল্লাহ, আর এই ভিডিও থেকে তার কিছু প্লান বুঝতে পারলাম, আর কিছু না হলেও তার রিকমেন্ড করা স্টোরি টেলিং এর বইটা পড়তেই হবে"
49,@mdmahdihasantushar,One of the best prodcast
50,@mr_afraz,Love From Howrah 🇮🇳
51,@farhanmahmud2042,Your new set is just awosome
52,@21jenisa13,আমি আপনার এডগুলি দেখতে চাই  কিভাবে
53,@abumuhammad9190,"মনে প্রবল জেদ+সাহস নিয়ে কাজ করতে হবে,
ফারদি ভাই উজ্জ্বল দৃষ্টান্ত ..."
54,@faiaxakib,"Now, that's called a setup and branding "
55,@shakilencrypted2339,Bring Numeri sattar apar from ACS. He recently generated 12 crores from a single course(2)
56,@b.m.sajolmahmud6752,In a word mind blowing. We should take an effective step to make life meaningful.
57,@Sksadi10,"20 years old me watching this video.
After 5 years I want to be successful like him."
58,@ArifulIslam-id8yl,I think this podcast will be hit 
59,@md.nayemulhaque7128,"what,s the name of book seller?"
60,@imran.2003,"নাফিস ভাই ! দক্ষিণ এশিয়ার সেরা উদ্যোক্তা পুরস্কার প্রাপ্ত, বাংলাদেশের জনপ্রিয় অ্যাপস ডেভেলপার,
মো: জোবায়ের হোসেন ভাই কে আপনাদের পোগ্রামে দেখতে চাই,  প্লিজ প্লিজ প্লিজ "
61,@IamShahRoseFaRdi,"ধন্যবাদ আমাকে এমন একটি সুযোগ দেয়ার জন্য, ইনশাআল্লাহ এই ১ ঘন্টা ১৮ মিনিট কারো বিফলে যাবে না "
62,@clicktechbangla9876,"যারা নেগেটিভ কমেন্ট করতে চেয়েও করতেছেন না, বা যারা এই ভাইকে ভালোভাবেই চিনেন,বা যারা বাশ খেয়েছেন।  তারা লাইক দিন ।"
63,@hasanpranto7689,Bring Numeri Sattar Apar from ACS. He recently generated 12 Crores from a single course.
64,@AfsanaMimi-xd8lp,"আসসালামু আলাইকুম  আমি আফসানা মিমি
আমি  বর্তামানে অনার্স ২য় বর্ষের ছাত্রী  এবং একজন প্রোপেশনালি মেহেদী আর্টিস্ট এবং আর্টের ১২০০ টাকা  দিয়েই আজকে হ্যন্ড পেইন্টিংএর জন্য  সাড়ি আর রং কিনে এনেছি, বাসা আসার পর থেকেই মাথায় গুড়তেছে সুধু বিজনেস করব বিজনেস করবো বল্লে হবেনা আমার রিসার্চ করতে হবে কি ভাবে কি করলে কতদূর যাওয়া যাবে এবং এই ভিডিও ৪২:৩৮ সেকেন্ডের সময় উনার মুখের বাক্যটি শুনে নিজেকে লাকি মনে হচ্ছে, দোয়া করবেন সবাই।"
65,@ksiripon1,"Thank you, Nafeez bhai, to invite him this extra ordinary session "
